Step,Epsilon,Reward,NN_Loss
1,1.0,-0.0,0.0
2,0.9998100189987335,-38.0,0.0
3,0.9996200759898677,-98.0,0.0
4,0.9994301709658051,-164.0,0.0
5,0.9992403039189496,-244.0,0.0
6,0.9990504748417063,-324.0,0.0
7,0.9988606837264821,-0.0,0.0
8,0.9986709305656853,-0.0,0.0
9,0.9984812153517261,-15.0,0.0
10,0.9982915380770154,-35.0,0.0
11,0.9981018987339664,-55.0,0.0
12,0.9979122973149935,-77.0,0.0
13,0.9977227338125126,-0.0,0.0
14,0.9975332082189413,-0.0,0.0
15,0.9973437205266983,-0.0,0.0
16,0.9971542707282044,-0.0,0.0
17,0.9969648588158813,-10.0,0.0
18,0.9967754847821527,-4.0,0.0
19,0.9965861486194436,-0.0,0.0
20,0.9963968503201808,-19.0,0.0
21,0.9962075898767919,-39.0,0.0
22,0.9960183672817068,-59.0,0.0
23,0.9958291825273565,-0.0,0.0
24,0.9956400356061736,-2.0,0.0
25,0.9954509265105923,-14.0,0.0
26,0.9952618552330482,-0.0,0.0
27,0.9950728217659784,-15.0,0.0
28,0.9948838261018216,-35.0,0.0
29,0.994694868233018,-55.0,0.0
30,0.9945059481520092,-75.0,0.0
31,0.9943170658512385,-0.0,0.0
32,0.9941282213231506,-0.0,42.503475189208984
33,0.9939394145601915,-20.0,42.90629577636719
34,0.9937506455548093,-40.0,43.98908233642578
35,0.993561914299453,-67.0,43.63662338256836
36,0.9933732207865733,-4.0,33.670597076416016
37,0.9931845650086227,-0.0,45.25026321411133
38,0.9929959469580548,-0.0,37.403472900390625
39,0.9928073666273248,-0.0,33.635929107666016
40,0.9926188240088897,-0.0,30.487628936767578
41,0.9924303190952076,-0.0,41.73078155517578
42,0.9922418518787385,-0.0,31.21290397644043
43,0.9920534223519435,-14.0,36.76898193359375
44,0.9918650305072855,-0.0,19.82537078857422
45,0.9916766763372289,-0.0,30.692012786865234
46,0.9914883598342394,-20.0,27.443626403808594
47,0.9913000809907846,-0.0,24.498146057128906
48,0.991111839799333,-15.0,35.16880416870117
49,0.9909236362523552,-33.0,30.454906463623047
50,0.9907354703423229,-0.0,27.261127471923828
51,0.9905473420617097,-0.0,37.793067932128906
52,0.9903592514029902,-11.0,40.05067443847656
53,0.9901711983586408,-8.0,28.603778839111328
54,0.9899831829211395,-4.0,20.20867156982422
55,0.9897952050829658,-0.0,25.719619750976562
56,0.9896072648366003,-17.0,14.590364456176758
57,0.9894193621745254,-37.0,33.54424285888672
58,0.9892314970892253,-59.0,32.09553527832031
59,0.9890436695731851,-0.0,31.179609298706055
60,0.9888558796188919,-2.0,24.205690383911133
61,0.988668127218834,-0.0,20.096317291259766
62,0.9884804123655013,-0.0,24.65488052368164
63,0.9882927350513852,-0.0,28.2581844329834
64,0.9881050952689786,-22.0,32.50309753417969
65,0.987917493010776,-42.0,17.42048454284668
66,0.9877299282692732,-73.0,19.65938377380371
67,0.9875424010369677,-113.0,30.963769912719727
